名称    开盘    最高    最低    收盘    成交量    成交额    涨幅    是否涨停
浦发银行(600000),11.80,11.80,11.54,11.55,23720095,275070688.00,-1.20%,否
白云机场(600004),15.84,16.10,15.43,15.64,8678436,136381616.00,-1.51%,否
东风汽车(600006),4.81,4.84,4.65,4.68,13108666,61782384.00,-3.51%,否
中国国贸(600007),14.11,14.11,13.85,13.92,791900,11055474.00,-0.93%,否
首创股份(600008),4.97,4.97,4.84,4.93,23449872,115115904.00,0.20%,否
上海机场(600009),47.00,47.28,45.51,45.86,8170653,376811808.00,-3.02%,否
华能国际(600011),6.32,6.33,6.23,6.29,6779533,42546420.00,-0.79%,否
皖通高速(600012),9.10,9.15,8.95,8.96,2068308,18666536.00,-1.65%,否
华夏银行(600015),8.86,8.88,8.71,8.73,21274627,186501184.00,-1.69%,否
民生银行(600016),8.02,8.03,7.85,7.85,64081598,506869504.00,-2.00%,否
日照港(600017),3.83,3.86,3.77,3.81,13889922,52930420.00,-0.52%,否
上港集团(600018),7.20,7.24,6.97,7.06,49087641,347804800.00,-3.16%,否
宝钢股份(600019),8.71,8.75,8.36,8.50,85864481,728702848.00,-2.86%,否
中原高速(600020),4.62,4.64,4.60,4.62,5927460,27375040.00,-0.22%,否
上海电力(600021),8.38,8.40,8.16,8.22,4848888,40002800.00,-2.26%,否
浙能电力(600023),5.40,5.46,5.40,5.41,7970037,43298780.00,-0.18%,否
华能水电(600025),3.77,3.77,3.62,3.66,48179426,177893968.00,-2.66%,否
中远海能(600026),5.40,5.46,5.33,5.36,5263091,28417152.00,-1.29%,否
华电国际(600027),3.62,3.63,3.51,3.54,19074491,68174848.00,-2.48%,否
中国石化(600028),6.85,6.87,6.62,6.71,173829569,1166143616.00,-1.76%,否
南方航空(600029),10.10,10.21,10.00,10.14,44557165,450066944.00,-0.20%,否
中信证券(600030),18.80,18.96,18.36,18.39,123282741,2295782912.00,-2.80%,否
三一重工(600031),8.50,8.50,8.18,8.33,98126929,813051392.00,-2.12%,否
福建高速(600033),3.45,3.50,3.45,3.46,5805687,20157300.00,0.29%,否
楚天高速(600035),4.18,4.20,4.14,4.18,3060588,12764572.00,-0.24%,否
招商银行(600036),29.20,29.21,27.95,28.11,91462703,2595815936.00,-4.84%,否
歌华有线(600037),12.37,12.54,12.16,12.33,6466981,79866456.00,0.00%,否
中直股份(600038),47.55,49.24,46.72,48.98,9112003,437278016.00,3.62%,否
四川路桥(600039),3.66,3.72,3.66,3.70,11905726,43943120.00,1.37%,否
保利地产(600048),13.93,13.94,13.04,13.24,164611101,2190622976.00,-5.56%,否
中国联通(600050),5.56,5.58,5.44,5.47,110726888,609188480.00,-2.15%,否
九鼎投资(600053),25.70,25.70,24.15,24.31,3606238,89273032.00,-5.70%,否
黄山旅游(600054),12.79,12.84,12.58,12.61,3579909,45373424.00,-1.41%,否
万东医疗(600055),15.00,15.78,14.85,15.40,15718775,240256800.00,-2.96%,否
中国医药(600056),24.15,24.15,21.68,21.95,33452355,746027520.00,-8.88%,否
厦门象屿(600057),8.22,8.53,8.18,8.46,10679264,89937944.00,3.93%,否
五矿发展(600058),10.88,11.02,10.60,10.62,5282735,57029304.00,-3.19%,否
古越龙山(600059),8.44,8.48,8.33,8.35,3144133,26387898.00,-1.30%,否
海信电器(600060),15.12,15.17,14.90,14.91,7105520,106659032.00,-1.39%,否
国投资本(600061),12.12,12.18,12.00,12.06,3926782,47391160.00,-0.82%,否
华润双鹤(600062),23.12,23.55,22.84,23.00,5567240,129172496.00,-0.52%,否
皖维高新(600063),3.11,3.13,3.09,3.09,4053200,12588695.00,-1.28%,否
南京高科(600064),13.96,13.99,13.73,13.85,3571865,49486512.00,-1.49%,否
宇通客车(600066),22.36,22.57,22.16,22.42,8539483,191483248.00,0.27%,否
冠城大通(600067),5.73,5.76,5.63,5.67,4826867,27439012.00,-1.56%,否
葛洲坝(600068),8.54,8.56,8.34,8.36,31236312,262683184.00,-1.88%,否
