名称    开盘    最高    最低    收盘    成交量    成交额    涨幅    是否涨停
浦发银行(600000),9.83,9.83,9.67,9.76,25040001,243586304.00,-0.71%,否
白云机场(600004),14.26,14.64,14.03,14.22,52171964,744277824.00,-4.05%,否
东风汽车(600006),3.84,3.92,3.76,3.89,6565441,25300082.00,0.78%,否
中国国贸(600007),14.00,14.84,13.85,14.82,1285375,18582708.00,4.96%,否
首创股份(600008),4.26,4.31,4.21,4.30,10175855,43572372.00,0.23%,否
上海机场(600009),56.70,57.15,56.00,56.58,5610121,318529664.00,-0.79%,否
包钢股份(600010),1.56,1.61,1.52,1.60,360853869,562523008.00,-0.62%,否
华能国际(600011),6.09,6.19,6.03,6.09,11114757,67816592.00,0.16%,否
皖通高速(600012),5.98,6.12,5.96,5.98,6703147,40358424.00,0.00%,否
华夏银行(600015),7.68,7.74,7.65,7.74,28478905,219627200.00,0.52%,否
民生银行(600016),7.25,7.26,7.20,7.24,44050130,318106784.00,-0.14%,否
日照港(600017),3.10,3.15,3.05,3.14,6861966,21395730.00,0.96%,否
上港集团(600018),5.82,5.89,5.72,5.85,10415718,60692780.00,1.04%,否
宝钢股份(600019),8.62,8.75,8.41,8.69,59638342,510764288.00,0.00%,否
中原高速(600020),3.65,3.74,3.63,3.74,5262575,19498460.00,1.36%,否
上海电力(600021),6.87,7.00,6.82,6.91,1906574,13184415.00,0.58%,否
浙能电力(600023),4.59,4.64,4.51,4.61,8223832,37634316.00,0.22%,否
华能水电(600025),3.00,3.05,2.99,3.04,18994565,57569304.00,0.33%,否
中远海能(600026),4.19,4.28,4.12,4.27,8080666,34215000.00,1.67%,否
华电国际(600027),3.83,3.99,3.75,3.94,22625921,88446256.00,2.34%,否
中国石化(600028),6.40,6.40,6.21,6.27,98913711,622814976.00,-2.18%,否
南方航空(600029),9.97,10.07,9.71,10.06,57589321,569669888.00,-0.40%,否
中信证券(600030),16.30,16.57,16.14,16.54,64966843,1065205760.00,1.60%,否
三一重工(600031),8.62,8.99,8.46,8.97,136055927,1197794304.00,4.06%,否
福建高速(600033),3.06,3.06,3.00,3.04,4069151,12335090.00,-0.98%,否
楚天高速(600035),3.04,3.08,3.02,3.07,7913400,24078510.00,0.33%,否
招商银行(600036),28.67,28.78,28.28,28.62,22199749,634077504.00,-0.10%,否
歌华有线(600037),9.83,10.53,9.67,10.31,5205823,53356040.00,4.88%,否
中直股份(600038),36.37,37.60,36.30,37.19,5608307,208157280.00,1.78%,否
四川路桥(600039),3.15,3.24,3.11,3.23,11765174,37654504.00,2.22%,否
保利地产(600048),14.21,14.39,13.74,14.07,74643731,1046545536.00,-0.78%,否
中国联通(600050),4.83,4.91,4.77,4.90,93112751,452348160.00,1.03%,否
宁波联合(600051),6.05,6.26,6.05,6.23,3053179,18800148.00,0.65%,否
九鼎投资(600053),16.51,16.98,16.23,16.86,886232,14807188.00,0.60%,否
黄山旅游(600054),11.21,11.43,11.20,11.42,1974437,22412980.00,1.24%,否
万东医疗(600055),10.83,10.90,10.46,10.74,5857952,62742472.00,-1.29%,否
中国医药(600056),18.88,19.06,18.60,18.99,6181495,116746496.00,0.26%,否
厦门象屿(600057),5.01,5.05,4.86,5.03,6149271,30719224.00,0.40%,否
五矿发展(600058),7.96,8.15,7.82,8.12,3592919,28863156.00,1.75%,否
古越龙山(600059),8.00,8.40,7.90,8.25,6164496,50259264.00,2.74%,否
海信电器(600060),13.15,13.30,12.94,13.29,5131163,67381088.00,-0.30%,否
国投资本(600061),8.87,9.10,8.82,9.08,5171883,46520896.00,2.25%,否
华润双鹤(600062),24.85,25.58,24.61,25.57,3190440,80613256.00,2.36%,否
皖维高新(600063),2.58,2.67,2.53,2.61,7572471,19676522.00,1.56%,否
南京高科(600064),7.27,7.38,7.17,7.36,2938887,21520500.00,1.10%,否
宇通客车(600066),20.51,20.69,20.43,20.50,5322081,109250200.00,-0.87%,否
冠城大通(600067),3.87,3.99,3.83,3.97,9283987,36349816.00,2.58%,否
葛洲坝(600068),7.58,7.69,7.51,7.65,30545774,232503248.00,0.66%,否
银鸽投资(600069),4.00,4.17,3.75,4.08,42645562,167453984.00,2.26%,否
浙江富润(600070),7.93,7.99,7.77,7.89,628002,4957187.00,-0.38%,否
凤凰光学(600071),11.49,11.57,11.20,11.28,622871,7087937.00,-0.97%,否
中船科技(600072),8.70,8.98,8.50,8.97,6779049,59896196.00,1.82%,否
上海梅林(600073),6.71,6.82,6.56,6.77,10227206,68663160.00,-0.73%,否
新疆天业(600075),6.16,6.35,6.11,6.32,3900563,24420010.00,1.77%,否
康欣新材(600076),4.68,4.76,4.58,4.75,22499629,105558616.00,2.81%,否
宋都股份(600077),3.53,3.54,3.45,3.52,4867613,17039852.00,2.03%,否
澄星股份(600078),3.25,3.38,3.21,3.36,2585660,8557956.00,2.44%,否
人福医药(600079),12.50,12.82,12.42,12.71,7529038,95051176.00,0.79%,否
金花股份(600080),9.37,9.48,9.20,9.45,1828972,17122428.00,0.21%,否
